tweet_id	hs	aggressiveness	offensiveness	irony	stereotype
803574238733107200	no	no	no	yes	no
810090293328539649	no	no	no	no	no
801894698952564736	no	no	no	no	no
831441652262772741	no	no	no	no	no
790512245373632512	no	no	no	no	yes
846470648746708998	no	no	no	yes	no
824709817604399104	no	no	no	no	no
815302333831802880	no	weak	no	yes	no
838789710147371008	no	no	weak	no	yes
825144856129466369	no	no	no	no	no
816226188142280704	yes	strong	no	no	no
782870535159984128	no	no	no	no	no
822073786509967361	no	no	no	no	no
854959412301189120	no	no	no	no	no
782968273377918976	no	no	no	no	no
824997217127788544	no	no	no	no	yes
842469416734449664	no	no	no	yes	yes
835187326695305216	no	no	no	no	no
799731905578967040	no	no	no	no	no
836132715837677570	no	no	no	yes	no
852612899461881861	no	no	no	no	no
821749421683736577	no	no	no	no	no
834859134575079425	no	no	no	no	no
807870298703982592	no	no	weak	yes	no
846685130336952320	no	no	no	no	no
810888406985216001	no	no	no	yes	no
851417425870553089	no	no	no	no	no
835091818048012289	no	no	weak	yes	yes
830794365194928130	no	no	no	yes	no
822070147766767616	no	no	no	yes	no
855463596737912833	no	no	no	no	no
807206751904919552	no	no	no	no	no
850634312663879680	no	no	no	no	no
801847901609672704	no	no	no	no	no
830108426470617089	yes	weak	strong	no	no
804121370120622080	no	no	no	no	no
807303983035518976	no	no	no	yes	no
804763920120614912	no	no	no	no	no
834861217445474304	yes	weak	no	no	no
831834787753103360	no	no	no	no	no
835484564235694080	no	no	no	yes	yes
841254957202493440	no	no	no	no	no
823930257346592768	no	no	no	no	no
841661780548030464	no	no	no	yes	no
842463326294667266	no	weak	weak	yes	yes
824571157269639168	no	no	no	no	no
799671637205360640	no	no	no	no	no
787361485093613568	no	weak	weak	no	no
855718386067795968	no	no	no	no	no
840242233131565056	no	no	weak	no	no
825253267089285120	no	no	no	no	no
853721918511476738	no	no	weak	no	yes
818425150953623552	no	no	no	no	no
808398433916768262	no	no	weak	yes	yes
821218066600230914	no	no	no	no	no
783758759713705985	no	no	no	yes	yes
822406556054671361	no	weak	weak	yes	yes
852213592808206340	no	no	weak	yes	no
835797445137268736	no	no	no	no	no
823636796185726977	no	no	no	yes	no
811099342593462272	no	no	no	no	no
839452608410566657	no	no	no	no	no
837268221828923393	no	no	no	no	no
830169611551330304	no	no	no	no	no
809431198648991744	no	no	no	no	no
785211366609125376	no	no	no	yes	yes
824367337340014592	no	no	no	yes	yes
832258150866812928	no	no	no	no	no
