tweet_id	tweet_text	target	hs	aggressiveness	offensiveness	irony	stereotype	intensity
847131334929797121	La legge per la protezione e accoglienza dei minori migranti è finalmente realtà | Save the Children Italia https://t.co/XxsSOmM3SF		no	no	no	no	no	0
840165185402884096	Le news dall'#EmiliaRomagna: minori stranieri soli, visita alla prima struttura di accoglienza aperta a Bologna https://t.co/HeaAAB0SJf		no	no	no	no	no	0
802130246564724736	L'Italia non deve rimpatriare i migranti verso paesi che non rispettano i diritti. Firma l'appello #IWelcome https://t.co/o6xwJk9qrA		no	no	no	no	no	0
840569771443802112	Catania, rissa tra stranieri in via Etnea, un uomo in fin di vita - La Sicilia https://t.co/q19rNS5eHK #Catania #news		no	no	no	no	no	0
856032091762569216	Escluse le chiese⛪️  Ogni struttura che appartiene alla chiesa prende un profugo ...già non pagano le tasse..... &lt;… https://t.co/30AlT6exfi		no	no	no	no	no	0
834199798781767680	Nuova strage di migranti, decine di corpi sulle spiagge della Libia https://t.co/65RKUAoliV		no	no	no	no	no	0
822907149529583619	#ottoemezzo @lilligruber @La7tv Si parlava di pedofilia nella chiesa giusto? Saranno tutti preti pro #migrants… https://t.co/SY764A7C2T		no	no	no	no	no	0
801874345144553472	@BarbaraRaval @PatriziaRametta l'Italia necessita di lavoro non di mano d'opera,chi incoraggia l'immigrazione incontrollata è un criminale		no	weak	no	no	no	0
811856009736155136	Berlino, blitz della polizia in campo profughi: 4 arresti https://t.co/3g17KRNpcH https://t.co/0gIILQArX8		no	no	no	no	no	0
833422187801501696	@ClaudioDeglinn2  Sono responsabili anche delle stragi di immigrati che finiscono in mare.		no	no	no	no	no	0
786320494614183938	Vi svelo una cosa: soggetti tbc positivi si trovano anche negli ospedali e non sono migranti; la vostra è un'informazione del cazzo #Matrix		no	weak	weak	no	no	0
784398234097750016	Centinaia di migranti ancora sulla nave dopo più di 24 ore dall'arrivo a #Cagliari. È il fallimento di #Renzi https://t.co/pk1MqPvS81		no	no	no	no	no	0
791619869548707840	@matteosalvinimi Mai una parola sulla Mafia che stritola l'Italia? Sempre e solo immigrati?		no	no	no	no	no	0
